dewp_temp,feat08,feat09,holiday,hour,humidity,rainfall,rented_bike_count,snowfall,solar_radiation,temperature,visibility,wind_speed,weekend,Autumn,Spring,Summer,Winter,rainfall_binary,snowfall_binary
21.6,0.7582704320177615,0.5671325222827509,0,14,72,0.0,1030,0.0,0.91,27.1,1126,3.0,0,0,0,1,0,0,0
15.8,0.3662006255570106,0.4440516877713639,0,6,84,0.0,505,0.0,0.01,18.6,316,0.7,0,0,1,0,0,0,0
-19.6,0.5491051399148755,0.1896868940606574,0,23,47,0.0,115,0.0,0.0,-10.5,1794,2.8,0,0,0,0,1,0,0
-8.4,0.6050134292820233,0.1904897414749757,0,1,54,0.0,280,0.0,0.0,-0.2,1747,0.5,1,0,0,0,1,0,0
-13.1,0.4520285913473818,0.3574263224437303,0,5,56,0.0,84,0.0,0.0,-5.8,1941,2.0,0,0,0,0,1,0,0
-3.0,0.6202258695686418,0.4056845480535149,0,12,55,0.0,325,0.0,0.85,5.3,904,2.6,1,0,0,0,1,0,0
14.2,0.5572084814337233,0.6526596634654643,0,20,55,0.0,2223,0.0,0.05,23.8,2000,2.3,0,0,0,1,0,0,0
-21.7,0.6821903767502077,0.6020495151006185,1,17,17,0.0,250,0.0,0.79,0.6,2000,3.3,1,0,0,0,1,0,0
-1.1,0.5317142639143969,0.4071165442606313,0,23,38,0.0,840,0.0,0.0,12.9,2000,1.5,1,1,0,0,0,0,0
13.9,0.501197079166159,0.4111305328596656,0,17,98,1.5,24,0.0,0.08,14.3,270,0.7,1,0,1,0,0,1,0
7.1,0.4789179006967706,0.5230851699328707,0,15,39,0.0,1025,0.0,2.09,21.7,1979,3.3,0,0,1,0,0,0,0
-15.8,0.6441874946769828,0.3235734999404575,0,20,38,0.0,398,0.0,0.0,-3.6,2000,3.0,0,0,0,0,1,0,0
-1.5,0.3389412926005178,0.2791389329837219,0,10,81,0.0,188,0.0,0.21,1.4,255,2.1,0,0,0,0,1,0,0
-5.1,0.5046757112190587,0.5999947169101542,0,22,68,0.0,149,1.0,0.0,0.1,740,4.6,0,0,0,0,1,0,1
-12.6,0.4010418392931512,0.4601657325879019,1,17,37,0.0,423,0.0,1.23,0.4,1366,5.2,0,0,1,0,0,0,0
10.9,0.7620254717211785,0.6781378507734226,0,6,61,0.0,807,0.0,0.03,18.6,2000,0.8,0,0,0,1,0,0,0
-1.8,0.87335586130962,0.5361769673352745,0,8,67,0.0,1907,0.0,0.15,3.7,1987,1.8,0,1,0,0,0,0,0
19.6,0.3654693032578237,0.4156005494220002,0,9,96,6.5,19,0.0,0.06,20.3,143,1.1,0,0,0,1,0,1,0
-13.7,0.6956785637962652,0.5022317388398432,1,16,28,0.0,310,0.0,0.51,3.0,1864,2.5,0,0,0,0,1,0,0
16.0,0.5318542630797723,0.3256384394358501,0,3,86,0.0,238,0.0,0.0,18.4,360,0.6,0,0,1,0,0,0,0
13.7,0.6093601300255294,0.2048616140779681,0,8,98,0.0,397,0.0,0.26,14.1,834,1.3,1,0,1,0,0,0,0
-1.1,0.4675964873084667,0.3213894176595833,0,4,67,0.0,88,0.0,0.0,4.5,1175,0.9,0,1,0,0,0,0,0
-12.7,0.5641842827185007,0.4148091879785175,0,21,15,0.0,1241,0.0,0.0,13.4,2000,2.7,0,0,1,0,0,0,0
8.4,0.8385706535504073,0.7943797468516784,0,17,38,0.0,2349,0.0,1.04,23.6,2000,1.4,0,1,0,0,0,0,0
-16.7,0.6522940506814249,0.5080387173133746,0,18,35,0.0,612,0.0,0.0,-3.5,1414,1.1,0,0,0,0,1,0,0
-9.3,0.4542504520059961,0.6767880992747837,0,5,66,0.0,55,2.6,0.0,-3.9,1209,0.7,0,0,0,0,1,0,1
-19.4,0.7416640418199553,0.5595056216036703,0,22,45,0.0,92,0.0,0.0,-9.7,2000,3.0,1,0,0,0,1,0,0
5.3,0.3114460961035536,0.5926912853860813,0,18,45,0.0,2574,0.0,0.75,17.4,1092,3.1,0,0,1,0,0,0,0
-7.9,0.2635629938185745,0.5109426346929983,0,17,30,0.0,646,0.0,0.96,8.7,1117,3.1,0,0,0,0,1,0,0
-20.6,0.4991522658962686,0.5032582485963556,0,18,43,0.0,352,0.0,0.02,-10.4,1985,2.3,0,0,0,0,1,0,0
-13.9,0.2561048714846745,0.1905330757298566,0,3,47,0.0,169,0.0,0.0,-4.3,1992,0.6,1,0,0,0,1,0,0
-3.9,0.6094187191814465,0.3694124587088503,0,2,88,0.0,132,2.2,0.0,-2.2,348,1.4,0,0,0,0,1,0,1
19.4,0.5873536056071317,0.6376459464447344,0,20,95,1.0,48,0.0,0.02,20.3,1372,0.8,0,0,0,1,0,1,0
7.4,0.6103570920077885,0.7157703363795491,0,15,32,0.0,1814,0.0,2.42,25.4,1980,3.8,1,1,0,0,0,0,0
-0.2,0.5998137296885027,0.3181547809962651,0,14,57,0.0,398,0.0,1.34,7.8,675,3.5,0,0,0,0,1,0,0
12.1,0.7393220750201901,0.7162261376522471,0,12,50,0.0,1442,0.0,2.45,23.2,1988,2.2,1,0,0,1,0,0,0
2.3,0.6347586782426586,0.4048315218294293,0,13,30,0.0,1084,0.0,2.67,20.6,1048,2.4,0,0,1,0,0,0,0
7.7,0.7285770561341396,0.5647006439800522,0,9,37,0.0,1243,0.0,1.28,23.3,1336,0.4,0,0,0,1,0,0,0
16.3,0.4195086520448989,0.317977393783519,0,5,91,0.0,288,0.0,0.0,17.8,393,2.2,0,0,0,1,0,0,0
5.6,0.6060051166630798,0.6056232579947686,0,16,66,0.0,1126,0.0,0.44,11.8,687,3.0,0,1,0,0,0,0,0
-23.0,0.6496989648863407,0.4841486194949461,0,16,34,0.0,181,1.0,0.74,-10.1,2000,4.3,0,0,0,0,1,0,1
13.9,0.6443615448674492,0.4709237431550248,0,20,62,0.0,2579,0.0,0.09,21.6,2000,3.3,0,0,0,1,0,0,0
-15.4,0.5548917218053135,0.4860220778242592,0,10,39,0.0,204,0.0,0.54,-3.5,1946,2.0,1,0,0,0,1,0,0
-1.2,0.3706311700707227,0.3745745684711382,0,22,82,0.0,160,2.6,0.0,1.5,537,2.4,0,0,0,0,1,0,1
9.2,0.4565556666389165,0.5706239536835483,0,15,33,0.0,1792,0.0,2.65,26.9,1997,2.9,1,1,0,0,0,0,0
6.3,0.4541343938638961,0.3653905534243522,0,2,73,0.0,397,0.0,0.0,11.0,816,1.5,1,0,1,0,0,0,0
-1.2,0.4496030640988463,0.4148372068846696,0,9,90,1.6,31,4.3,0.0,0.2,305,1.0,1,0,0,0,1,1,1
21.3,0.4940561400800763,0.6343747909516635,1,10,49,0.0,547,0.0,2.09,33.5,1937,1.0,0,0,0,1,0,0,0
-1.7,0.6049339446048453,0.6720845025744466,0,8,58,0.0,293,0.0,0.11,5.9,861,1.8,1,0,1,0,0,0,0
15.5,0.7395640192422588,0.5876057037077121,0,19,63,0.0,2489,0.0,0.03,23.0,2000,3.1,0,1,0,0,0,0,0
-7.4,0.5278600720411384,0.4225923457654157,0,0,60,0.0,228,0.0,0.0,-0.6,1433,0.6,1,0,0,0,1,0,0
-16.1,0.6794588596193505,0.412982431044339,0,12,31,0.0,240,1.3,1.2,-1.1,1869,1.3,0,0,0,0,1,0,1
20.1,0.2685019978638799,0.3042443984146555,0,7,89,0.5,25,0.0,0.08,22.1,1617,0.5,1,0,0,1,0,1,0
8.1,0.6773990559593518,0.4202112104267914,0,1,74,0.0,672,0.0,0.0,12.7,392,1.8,1,0,1,0,0,0,0
23.2,0.4729025106720682,0.6528672080703872,0,23,84,0.0,1439,0.0,0.0,26.2,1646,1.0,0,0,0,1,0,0,0
13.1,0.5236581420397466,0.7252266935112366,0,22,45,0.0,1787,0.0,0.0,26.0,2000,1.7,0,0,0,1,0,0,0
11.6,0.8696715137497197,0.4787770566522861,0,3,82,0.0,249,0.0,0.0,14.7,1822,0.8,0,0,1,0,0,0,0
2.8,0.7467150957080676,0.4921956183330302,0,23,62,0.0,447,0.0,0.0,9.8,535,0.6,0,0,1,0,0,0,0
-24.6,0.5850935943543458,0.4839971167062344,0,13,23,0.0,166,0.0,1.28,-6.9,1963,4.6,0,0,0,0,1,0,0
3.9,0.4589102866868949,0.5929397468099954,0,8,76,0.0,2070,0.0,0.25,7.9,1290,1.2,0,1,0,0,0,0,0
6.3,0.4654059926666321,0.3343178184574067,0,4,97,2.0,9,0.0,0.0,6.8,453,2.2,0,0,1,0,0,1,0
-13.8,0.3814239659157369,0.1344650461187358,0,6,52,0.0,38,0.0,0.0,-5.5,1503,0.7,1,0,0,0,1,0,0
16.2,0.7105198416357075,0.4192407648326213,0,4,82,0.0,304,0.0,0.0,19.4,531,0.9,1,0,0,1,0,0,0
15.2,0.5635992615191577,0.3129629588535818,0,2,63,0.0,387,0.0,0.0,22.7,2000,0.9,0,0,0,1,0,0,0
-20.1,0.5196652968793263,0.6197898447550217,0,18,36,0.0,392,0.0,0.11,-7.6,2000,3.3,0,0,0,0,1,0,0
4.1,0.1952124004533975,0.3689610737821566,0,3,74,0.0,262,0.0,0.0,8.5,2000,1.3,0,1,0,0,0,0,0
2.1,0.6286903015138149,0.3031414845035212,0,12,61,0.0,672,0.0,0.85,9.3,390,1.5,0,1,0,0,0,0,0
-8.7,0.6968707894412771,0.5402736297630835,0,0,36,0.0,450,0.0,0.0,5.1,774,2.2,0,1,0,0,0,0,0
11.8,0.3634298653907926,0.4313638762270506,0,8,72,0.3,208,0.0,0.04,16.9,2000,1.3,0,1,0,0,0,1,0
-19.2,0.49026597665398,0.5165356763367999,0,6,54,0.0,23,0.0,0.0,-11.8,1917,2.4,1,0,0,0,1,0,0
14.2,0.6534010856741356,0.2754382307770843,0,9,59,0.0,1360,0.0,1.77,22.7,940,2.0,0,0,0,1,0,0,0
-5.6,0.3500668925070192,0.3131941596345767,1,11,62,0.0,142,1.1,0.88,0.8,801,2.8,1,0,0,0,1,0,1
1.4,0.4264284311505784,0.6327472919158565,0,18,35,0.0,2661,0.0,1.11,17.1,1961,3.4,0,0,1,0,0,0,0
-2.7,0.6107785841814545,0.5919643467114851,0,23,81,0.0,128,2.6,0.0,0.1,551,2.9,0,0,0,0,1,0,1
20.2,0.6078746945510869,0.552996370813193,0,12,45,0.0,784,0.0,2.95,33.9,1923,1.4,0,0,0,1,0,0,0
-8.1,0.4138472236810018,0.6505917372629864,0,12,37,0.0,353,0.0,0.43,5.4,815,0.7,0,0,0,0,1,0,0
15.2,0.6866780942305483,0.4165376574005904,0,6,83,0.0,710,0.0,0.06,18.2,448,0.6,0,0,0,1,0,0,0
-18.9,0.6265942519462471,0.4229215880844645,0,23,48,0.0,91,0.0,0.0,-10.0,2000,2.6,1,0,0,0,1,0,0
-3.2,0.4748810967489184,0.4262865768207549,0,14,76,0.0,116,4.2,0.17,0.5,364,0.9,0,0,0,0,1,0,1
-21.4,0.5519215479107812,0.4405221034484649,0,13,34,0.0,152,0.0,2.22,-8.3,1561,4.0,1,0,0,0,1,0,0
-22.0,0.8050503975419774,0.2588091100903564,0,19,32,0.0,273,0.0,0.0,-8.2,2000,1.1,0,0,0,0,1,0,0
21.0,0.5993725341504509,0.6595557417390898,0,8,69,0.0,1728,0.0,0.7,27.2,1999,1.8,0,0,0,1,0,0,0
-17.7,0.6631509783843635,0.4940730102340952,0,18,26,0.0,564,0.0,0.15,-0.5,1999,1.7,0,0,0,0,1,0,0
